,publish_date,title,description,tags
73,2006-12-21T04:36:14Z,She Don't Vear Panties,"Cindy Loop's emergency visit to the gynecologist turns out some rather unexpected results when her quack doc finds more than he bargained for.
 
 Director Glen Grefe also has a new full-length feature indie-film, a psychological thriller called ""NUTCRACKER: An American Nightmare"". 
 
 It stars cult horror-hero David Hess (from Wes Craven's Last House on the Left movie)!!!
 
 Lots of exclusive features are included, such as 2 unseen shorts and 4 extra bonus videos (see music flash below).  Its available as of now: January 16th, 2007. 
 
 Some availability links:
 
 http://www.amazon.com/Nutcracker/dp/B000JJ4FDK/sr=1-27/qid=1 168111800/ref=sr_1_27/002-8221662-0128018?ie=UTF8&s=dvd
 
 http://www.blockbuster.com/online/catalog/movieDetails?movie Id=310650
 
 An recent version (without extras) of Nutcracker is on a 2 disc DVD set at Best Buy stores and online (search ""Demented Deviants""): 
 
 http://www.bestbuy.com/site/olspage.jsp?_dyncharset=ISO-8859 -1&id=pcat17071&type=page&st=demented+deviants&sc=titleSP&cp =1&nrp=15&sp=&qp=&list=n&iht=y&usc=%A0-Title
 
 Official sites:
 
 http://www.nutcrackerthrillermovie.net
 
 http://www.imdb.com/title/tt0301677/ 
 
 
 HOT MUSIC FLASH!!!
 
 Here is a popular CD-maxi single taken from the soundtrack, featuring electronic house music by Aisling Being's Josh Gest, and 2 EXCLUSIVE new DREAMY CREEPY tracks by none other than Julee (TWIN PEAKS) Cruise:
 
 http://www.cdbaby.com/cd/cruisegest
 
 [you can get this consistently popular maxi-single easily at any download site by searching ""Julee Cruise""; it will be listed as Julee Cruise/Josh Gest: An American Nightmare]",comedy|crazy|slapstick|pussycat|grefe|marx|doctor|brooks|Glen|Grefe|weird|funny|joke|nipples|doc|girl|popular|laugh|cat
74,2005-12-07T12:53:44Z,Strange Days at Blake Holsey High,"Watch as the cast of this awesome show is depicted in a still picture music video. It is done to the song ""Reflections"" by Shadia Simmons in the episode Hemispheres. Can you spot the connections between the pictures and the lyrics as they play?",Strange|Days|at|Blake|Holsey|High|Reflections
75,2005-12-31T06:30:28Z,Squall and Riona,"This is SOOO not mine, but it has to be the best AMV out there",Final|fantasy|VIII|Everything|Lifehouse
76,2006-11-21T05:26:47Z,The SIms 2- Hakii & Mushu do Woohoo =),"I got bored...and made these two characters.
 
 I support gay marraige =)
 
 And if you're wondering where I got the hair, eyes, and lips, you can download them at www.modthesims2.com
 But you have to have an account first =)",the|sims|two|sex|porn|woohoo|woo|hoo|hakii|mushu|mod
77,2006-07-11T20:08:27Z,pigs by sebastien lanoue,3d pigs makin bacon really funny!!,home|3d|funny|animation|pig|pigs
78,2014-12-19T22:09:42Z,The Big Penis Solution,"Before anything else, please don't forget to comment, rate, and if you love the video, subscribe! Thanks in advance for watching!
 
 Excuse me, do you have a big penis? 
 
 If your answer is yes, then this has happened to you. But if your answer is no or not applicable (helloooo, ladies!), please still watch this video that tackle the HUGE and GROWING problem of those people with big penises.",whereisthelaser?|Art|Of|Shifting|Gears|Big|Penis|Solution|Erection|Boner|Lindsay|Lohan|Melina|Yoda
79,2006-03-18T21:51:31Z,Mr. lil one fight,rapper from San Diego gets in a agument with someone,Mr.|lil|one|Fight|San Diego|Mrlilone|Rap Music
80,2006-01-03T19:47:58Z,just a hmong song,peter singing,peter
81,2006-12-02T17:13:38Z,Nokia Nseries RockBox Video 16,Nokia Nseries RockBox Video,Nokia|Nseries|RockBox|Video
82,2006-01-07T18:41:33Z,Halo 2 Dont Make Us Kick Your Ass,"A funny video made by a clan on Halo 2 called Futuristic Sex Robotz (FSR) very funny
 
 I DID NOT MAKE THIS",Halo2|Funny|Videos|FSR
83,2006-09-06T21:53:07Z,Rule Britannia,i know that the images are pretty crap but the point im tryin' to get across is Rule Britannia!!!,britain|england|rule|britannia|song
84,2006-09-07T15:02:24Z,UN (finnish) vs. Israel army,Israel army tanks vs. UN (finnish) SISU apc south Lebanon,Israel|army|UN|intti|tankki|tank|unifil|attack|finland|military
85,2006-09-05T03:03:51Z,Jax and Courtney Shower Sex,"Jax wakes up and Courtney isn't there but a towel happens to be there in her place. 
 Alicia's first love scene, that is not a fade to black. The song is Come Be With Me by Amy Grant
 
 *This is not porn. Stop sending me messages wanting more of this or links to porn. This scene was on a television show called GENERAL HOSPITAL. I also don't know why it was flagged*",Jax|Courtney|Jacks|Matthews|Steam|Shower|Sex|Ingo|Alicia|Leigh|Rademacher|Willis|General|Hospital|Soap|Opera|ABC|Hot
86,2006-11-11T23:51:50Z,I Wanna Fuck You Akon Ft. Snoop Dogg,"Hot Song! Hot Women! Akon Feat Snoop Dogg ""I Wanna F*** You!  Feat The Hottest B****'s In The Industry! Now That's Wassup!",Akon|SnoopDogg|IWannaFuckYou|HotLadies
87,2006-03-24T13:29:50Z,Football/Soccer violence,Bits taken from football/soccer.,football|soccer|violence|eric|cantona|roy|keane|legends|fight|fights|hooligans
88,2006-07-19T10:29:15Z,cataract surgery,"cataract surgery
 
 click this link to join the cool and exciting community of erepublik
 
 http://www.erepublik.com/en/referrer/Soulfly+Mark",cataract|surgery
89,2006-12-29T02:27:02Z,Not a great dancer (LOL),"Oh-oh. (Yea, that doesn't look like dancing at all. LOL) My diet didn't start well. Instead of healthy food I ate some delicious dairy products... and a lot of chocolate all of the day. My waist has grown 6 cm, hips 9 cm and tights 3 cm from the beginning of this holiday season. :P
 
 ...Should I just let it go and gain more weight?",belly|gained|weight|lady|hips
90,2006-04-30T05:27:04Z,CZECH YOUNG MUSCLE MODEL,A HOT Blonde jock poses and flexes his biceps - and check out his basket,muscle|bodybuilders|flexing|biceps|pecs|model
91,2006-04-24T23:57:19Z,Autopsia a extraterrestre Alien Autopsy ovni.blogsome.com  4,"Autopsia realizada a un extraterrestre parte 4 se ve como le cortan la cabeza para sacar el cerebro
 Autopsy made to an alien part 4 they cut the head to remove the brain to him 
 http://ovniblogsome.com",Ovni|Ovnis|UFO|UFOS|alien|extraterrestre|autopsia|autopsy|ovni.blogosme.com
92,2006-08-29T00:11:05Z,Chris Tucker Def Comedy Jam,Chris Tucker on Def Comedy Jam Allstars,Chris|Tucker|Def|Comedy|Jam|Allstars
93,2006-12-11T05:25:23Z,""" YouTube Sex Simulation Suit""","http://nickynik.com Nicynik's contribution to the ""YouTube"" community.
 This is Superior Technology ""The YouTube Sex Simulation Suit"". I will be mass producing these for everyone to enjoy safe sex online!",NickyNik|NickyNick|Nick|James|boh3m3|williamsledd|renetto|lisanova|nickynik|sex|youtube|funny|comedy|humor|crazy
94,2006-04-15T04:42:17Z,Devgon Ash Live@Apple Store Shibuya,"Devgon Ash(Shotaro Nakano) plays STEBEL Music Horn,
 Casio PT-280, Vtech Oshaberi Computer,
 Apple iBookG4 w/NI TRAKTOR DJ STUDIO 2 etc...",Circuitbent|Circuit|Bending|CircuitBending|bent|toys|noise|glitch|casio|applestore
95,2006-06-14T21:56:34Z,Westboro Church Interview - Part 3,"An interview with members of Westboro Church, Topeka, KS.",SBC|Westboro
96,2006-08-09T00:05:41Z,You I Love Theatrical - www.PictureThisEntertainment.com,"Vera and Tim are successful young professionals living fast-paced lives in ultra-modern Moscow. She's a beautiful, famous newscaster. He's a creative idea-guy in an advertising firm. (""Freedom is cola!"") Their lives crackle with the capitalist energy of excess, anxiety, consumption, and stress— and they are in love.
 
 Everything changes one night when Tim accidentally drives his car into Uloomji, a young Kalmyk day worker. (The Kalmyks are a semi-nomadic people of Mongolian decent.) The two men are immediately drawn to each other, and begin a torrid affair that involves howling and knocking over a lot of furniture. Tim is attracted to Uloomji's exotic demeanor, and liberated by his impulsiveness and lack of inhibition. To Uloomji, Tim embodies a kind of class and refinement he sees only in magazines.
 
 Vera struggles to comprehend their bond and her boyfriend's erratic behavior, and is dragged reluctantly into a bizarre love triangle. Before long, all three lives unravel, exemplified by a visit to a Buddhist healer, a three-way in the bathroom of a gay bar, a faked death, and a kidnapping.
 
 YOU I LOVE is reminiscent of the work of Pedro Almodovar, particularly in the way it relishes saturated symbolism, obsessive love, and zany, character-driven melodrama.",gay|drama|you|love|theatical|trailer|picture|this|entertainment|Pedro|Almodovar
97,2006-07-30T21:30:39Z,4 minute cucumber,"One third of my video art project ""Erotic"".
 http://projects.lektrolab.com/art/erotic/",cucumber
98,2006-05-21T05:47:33Z,Gay Men,In The Shower,gay|men|shower|penis|big|cute|sex|sexy
99,2006-04-13T21:57:12Z,TODD WEEKS SHOULD BE A BASKINS AND ROBINS FLAVOR!!!,"Some things you may or may not know about Todd Weeks...
 Chuck Norris does not sleep. He waits.  Todd Weeks doesn't need to wait.  People know better than to even try it.
 Chuck Norris drives an ice cream truck covered in human skulls.  Todd Weeks drives the truck from Sanford and Son.  It's covered in human skulls too.
 When Chuck Norris has sex with a man, it won't be because he is gay. It will be because he has run out of women.  For the record, Todd Weeks had to move on to animals years ago.
 When Chuck Norris talks, everybody listens. And dies.........from only the notion of how badly Todd Weeks would destroy him.
 Chuck Norris always knows the EXACT location of Carmen SanDiego.  She is at home waiting for a call from Todd Weeks.
 CHUCK NORRIS FEARS TODD WEEKS!!!",CHUCK|NORRIS|TODD|WEEKS|MMA|UFC|WWE
100,2006-01-01T07:23:16Z,Blue Sky Propeller - Julie Plug,music video directed by Rob Poswall copyright 2000 from the album whatever you wonder,julie|plug|blue|sky|propeller|rob|poswall|classified|filipino|starmaker|whatever|you|wonder
101,2006-07-17T20:58:09Z,Slaughter Party Trailer,"The trailer for the 2006 Troma release Slaughter Party starring Felissa Rose, Brinke Stevens, Heidi Martinuzzi, Ford Austin, Ron Jeremy and Seymour Butts.",Heidi|Martinuzzi|horror|gore|Felissa|Rose|Brinke|Stevens|midgets|independent|film|indie|ron|jeremy
